Train Type,Car No.,Car Type,Car Direction,Door No.,Case,Case Offset (mm),Stop Error (mm),Front Ref Position (mm),Base Door Start (mm),Base Door End (mm),Door Width (mm),Actual Door Start (mm),Actual Door End (mm),Door Center (mm),Unit ID,Unit Start (mm),Unit End (mm),Unit Center (mm),Overlap Width (mm),Move Distance (mm),Direction,Effective Opening Width (mm),Min Required Width (mm),Valid?,Command,Confidence,Source / Note
GTX-A,1,Tc,정방향,1,1,0,-35,-35,260,390,130,225,355,290,2,140,280,210,77.75,77.75,LEFT,175.5,175.5,OK,UNIT_2:LEFT:77.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,1,1,0,-35,-35,260,390,130,225,355,290,3,280,420,350,97.75,97.75,RIGHT,175.5,175.5,OK,UNIT_3:RIGHT:97.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,2,1,0,-35,-35,910,1040,130,875,1005,940,7,840,980,910,105,105,LEFT,175.5,175.5,OK,UNIT_7:LEFT:105.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,2,1,0,-35,-35,910,1040,130,875,1005,940,8,980,1120,1050,70.5,70.5,RIGHT,175.5,175.5,OK,UNIT_8:RIGHT:70.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,3,1,0,-35,-35,1560,1690,130,1525,1655,1590,11,1400,1540,1470,60.5,60.5,LEFT,175.5,175.5,OK,UNIT_11:LEFT:60.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,3,1,0,-35,-35,1560,1690,130,1525,1655,1590,12,1540,1680,1610,115,115,RIGHT,175.5,175.5,OK,UNIT_12:RIGHT:115.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,1,1,0,-35,-35,2260,2390,130,2225,2355,2290,16,2100,2240,2170,60.5,60.5,LEFT,175.5,175.5,OK,UNIT_16:LEFT:60.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,1,1,0,-35,-35,2260,2390,130,2225,2355,2290,17,2240,2380,2310,115,115,RIGHT,175.5,175.5,OK,UNIT_17:RIGHT:115.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,2,1,0,-35,-35,2910,3040,130,2875,3005,2940,21,2800,2940,2870,87.75,87.75,LEFT,175.5,175.5,OK,UNIT_21:LEFT:87.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,2,M,정방향,2,1,0,-35,-35,2910,3040,130,2875,3005,2940,22,2940,3080,3010,87.75,87.75,RIGHT,175.5,175.5,OK,UNIT_22:RIGHT:87.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,2,M,정방향,3,1,0,-35,-35,3560,3690,130,3525,3655,3590,26,3500,3640,3570,115,115,LEFT,175.5,175.5,OK,UNIT_26:LEFT:115.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
