Train Type,Door No.,Case,Case Offset (m),Stop Error (m),Front Ref Position (m),Base Door Start (m),Door Width (m),Actual Door Start (m),Actual Door End (m),Open Unit Start,Open Unit End,Selected Unit Center (m),Door Center (m),Move Distance (m),Direction,Effective Opening Width (m),Min Required Width (m),Valid?,Command
GTX-A,1,8,0,-0.35,-0.35,2.987,1.3,2.637,3.937,2,2,2.1,3.287,0.175,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,-0.35,-0.35,2.987,1.3,2.637,3.937,3,3,3.5,3.287,1.225,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,-0.3,-0.3,2.987,1.3,2.687,3.987,2,2,2.1,3.337,0.175,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,-0.3,-0.3,2.987,1.3,2.687,3.987,3,3,3.5,3.337,1.225,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,-0.25,-0.25,2.987,1.3,2.737,4.037,2,2,2.1,3.387,0.175,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,-0.25,-0.25,2.987,1.3,2.737,4.037,3,3,3.5,3.387,1.4,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,-0.2,-0.2,2.987,1.3,2.787,4.087,2,2,2.1,3.437,0.175,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,-0.2,-0.2,2.987,1.3,2.787,4.087,3,3,3.5,3.437,1.4,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,-0.15,-0.15,2.987,1.3,2.837,4.137,3,3,3.5,3.487,1.4,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,-0.1,-0.1,2.987,1.3,2.887,4.187,3,3,3.5,3.537,1.4,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,-0.05,-0.05,2.987,1.3,2.937,4.237,3,3,3.5,3.587,1.4,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,-0.05,-0.05,2.987,1.3,2.937,4.237,4,4,4.9,3.587,0.175,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,0,0,2.987,1.3,2.987,4.287,3,3,3.5,3.637,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,0,0,2.987,1.3,2.987,4.287,4,4,4.9,3.637,0.175,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,0.05,0.05,2.987,1.3,3.037,4.337,3,3,3.5,3.687,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,0.05,0.05,2.987,1.3,3.037,4.337,4,4,4.9,3.687,0.175,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,0.1,0.1,2.987,1.3,3.087,4.387,3,3,3.5,3.737,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,0.1,0.1,2.987,1.3,3.087,4.387,4,4,4.9,3.737,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,0.15,0.15,2.987,1.3,3.137,4.437,3,3,3.5,3.787,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,0.15,0.15,2.987,1.3,3.137,4.437,4,4,4.9,3.787,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,0.2,0.2,2.987,1.3,3.187,4.487,3,3,3.5,3.837,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,0.2,0.2,2.987,1.3,3.187,4.487,4,4,4.9,3.837,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,0.25,0.25,2.987,1.3,3.237,4.537,3,3,3.5,3.887,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,0.25,0.25,2.987,1.3,3.237,4.537,4,4,4.9,3.887,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,0.3,0.3,2.987,1.3,3.287,4.587,3,3,3.5,3.937,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,0.3,0.3,2.987,1.3,3.287,4.587,4,4,4.9,3.937,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,8,0,0.35,0.35,2.987,1.3,3.337,4.637,3,3,3.5,3.987,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,8,0,0.35,0.35,2.987,1.3,3.337,4.637,4,4,4.9,3.987,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.35,-0.175,2.987,1.3,2.812,4.112,3,3,3.5,3.462,1.4,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.3,-0.125,2.987,1.3,2.862,4.162,3,3,3.5,3.512,1.4,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.25,-0.075,2.987,1.3,2.912,4.212,3,3,3.5,3.562,1.4,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.25,-0.075,2.987,1.3,2.912,4.212,4,4,4.9,3.562,0.175,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.2,-0.025,2.987,1.3,2.962,4.262,3,3,3.5,3.612,1.4,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.2,-0.025,2.987,1.3,2.962,4.262,4,4,4.9,3.612,0.175,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.15,0.025,2.987,1.3,3.012,4.312,3,3,3.5,3.662,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.15,0.025,2.987,1.3,3.012,4.312,4,4,4.9,3.662,0.175,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.1,0.075,2.987,1.3,3.062,4.362,3,3,3.5,3.712,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.1,0.075,2.987,1.3,3.062,4.362,4,4,4.9,3.712,0.175,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.05,0.125,2.987,1.3,3.112,4.412,3,3,3.5,3.762,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,-0.05,0.125,2.987,1.3,3.112,4.412,4,4,4.9,3.762,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,0,0.175,2.987,1.3,3.162,4.462,3,3,3.5,3.812,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,0,0.175,2.987,1.3,3.162,4.462,4,4,4.9,3.812,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.05,0.225,2.987,1.3,3.212,4.512,3,3,3.5,3.862,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.05,0.225,2.987,1.3,3.212,4.512,4,4,4.9,3.862,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.1,0.275,2.987,1.3,3.262,4.562,3,3,3.5,3.912,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.1,0.275,2.987,1.3,3.262,4.562,4,4,4.9,3.912,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.15,0.325,2.987,1.3,3.312,4.612,3,3,3.5,3.962,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.15,0.325,2.987,1.3,3.312,4.612,4,4,4.9,3.962,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.2,0.375,2.987,1.3,3.362,4.662,3,3,3.5,4.012,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.2,0.375,2.987,1.3,3.362,4.662,4,4,4.9,4.012,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.25,0.425,2.987,1.3,3.412,4.712,3,3,3.5,4.062,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.25,0.425,2.987,1.3,3.412,4.712,4,4,4.9,4.062,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.3,0.475,2.987,1.3,3.462,4.762,3,3,3.5,4.112,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.3,0.475,2.987,1.3,3.462,4.762,4,4,4.9,4.112,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.35,0.525,2.987,1.3,3.512,4.812,3,3,3.5,4.162,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,7,0.175,0.35,0.525,2.987,1.3,3.512,4.812,4,4,4.9,4.162,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.35,0,2.987,1.3,2.987,4.287,3,3,3.5,3.637,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.35,0,2.987,1.3,2.987,4.287,4,4,4.9,3.637,0.175,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.3,0.05,2.987,1.3,3.037,4.337,3,3,3.5,3.687,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.3,0.05,2.987,1.3,3.037,4.337,4,4,4.9,3.687,0.175,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.25,0.1,2.987,1.3,3.087,4.387,3,3,3.5,3.737,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.25,0.1,2.987,1.3,3.087,4.387,4,4,4.9,3.737,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.2,0.15,2.987,1.3,3.137,4.437,3,3,3.5,3.787,1.225,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.2,0.15,2.987,1.3,3.137,4.437,4,4,4.9,3.787,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.15,0.2,2.987,1.3,3.187,4.487,3,3,3.5,3.837,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.15,0.2,2.987,1.3,3.187,4.487,4,4,4.9,3.837,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.1,0.25,2.987,1.3,3.237,4.537,3,3,3.5,3.887,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.1,0.25,2.987,1.3,3.237,4.537,4,4,4.9,3.887,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.05,0.3,2.987,1.3,3.287,4.587,3,3,3.5,3.937,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,-0.05,0.3,2.987,1.3,3.287,4.587,4,4,4.9,3.937,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,0,0.35,2.987,1.3,3.337,4.637,3,3,3.5,3.987,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,0,0.35,2.987,1.3,3.337,4.637,4,4,4.9,3.987,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.05,0.4,2.987,1.3,3.387,4.687,3,3,3.5,4.037,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.05,0.4,2.987,1.3,3.387,4.687,4,4,4.9,4.037,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.1,0.45,2.987,1.3,3.437,4.737,3,3,3.5,4.087,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.1,0.45,2.987,1.3,3.437,4.737,4,4,4.9,4.087,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.15,0.5,2.987,1.3,3.487,4.787,3,3,3.5,4.137,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.15,0.5,2.987,1.3,3.487,4.787,4,4,4.9,4.137,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.2,0.55,2.987,1.3,3.537,4.837,3,3,3.5,4.187,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.2,0.55,2.987,1.3,3.537,4.837,4,4,4.9,4.187,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.25,0.6,2.987,1.3,3.587,4.887,3,3,3.5,4.237,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.25,0.6,2.987,1.3,3.587,4.887,4,4,4.9,4.237,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.3,0.65,2.987,1.3,3.637,4.937,3,3,3.5,4.287,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.3,0.65,2.987,1.3,3.637,4.937,4,4,4.9,4.287,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.35,0.7,2.987,1.3,3.687,4.987,3,3,3.5,4.337,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,6,0.35,0.35,0.7,2.987,1.3,3.687,4.987,4,4,4.9,4.337,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.35,0.175,2.987,1.3,3.162,4.462,3,3,3.5,3.812,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.35,0.175,2.987,1.3,3.162,4.462,4,4,4.9,3.812,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.3,0.225,2.987,1.3,3.212,4.512,3,3,3.5,3.862,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.3,0.225,2.987,1.3,3.212,4.512,4,4,4.9,3.862,0.35,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.25,0.275,2.987,1.3,3.262,4.562,3,3,3.5,3.912,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.25,0.275,2.987,1.3,3.262,4.562,4,4,4.9,3.912,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.2,0.325,2.987,1.3,3.312,4.612,3,3,3.5,3.962,1.05,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.2,0.325,2.987,1.3,3.312,4.612,4,4,4.9,3.962,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.15,0.375,2.987,1.3,3.362,4.662,3,3,3.5,4.012,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.15,0.375,2.987,1.3,3.362,4.662,4,4,4.9,4.012,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.1,0.425,2.987,1.3,3.412,4.712,3,3,3.5,4.062,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,-0.1,0.425,2.987,1.3,3.412,4.712,4,4,4.9,4.062,0.525,LEFT,1.3,1.3,OK,
